Count,Category
14837,insect
6207,yellow|rust
5785,fungal
2418,borer
2177,yellow|leaf
1912,pest
1858,yield
1711,weed
1697,disease
1556,plant protection
1497,rat
1429,dose
785,deficiency
710,rust
655,seed treatment
628,blight
618,nutrient
610,rot
476,nematode
406,smut
212,time
198,wilt
169,brown|rust
66,black|rust
48617,Total
