Count,Category
18564,insect
15990,suck|pest
11789,fly|white
6033,fungal
4791,boll|worm
3707,flower|drop
2768,thrip
2575,wilt
2262,yield
2159,dose
2108,plant protection
2052,blight
1436,spot
1432,leaf|curl
1340,rot
1170,disease
825,borer
779,red|leaf
572,yellow
235,weed
184,deficiency
82771,Total
