Month,Frequency
2018|10,2002
2018|11,209
2018|12,2900
2019|1,2762
2019|2,1932
2019|3,3348
2019|4,1641
2019|5,1562
2019|6,3972
2019|7,11761
2019|8,23954
2019|9,36234
2019|10,26185
2019|11,6158
2019|12,2965
2020|1,5030
2020|2,4418
2020|3,3793
2020|5,0
2020|6,2923
2020|7,6684
2020|8,18682
2020|9,27272
