Month,Frequency
2018|10,14
2018|11,225
2018|12,3888
2019|1,4723
2019|2,3432
2019|3,4960
2019|4,419
2019|5,40
2019|6,31
2019|7,20
2019|8,40
2019|9,94
2019|10,718
2019|11,3468
2019|12,9736
2020|1,7898
2020|2,8519
2020|3,6845
2020|5,0
2020|6,92
2020|7,46
2020|8,67
2020|9,144
